key,id,name,js,fx,awt,gl,cat,doc
Special.UNDEFINED,0x210000,UNDEFINED,Undefined,UNDEFINED,VK_UNDEFINED,,Special,The Undefined key
Modifier.ALT,0x220000,ALT,Alt,ALT,VK_ALT,,Modifier,The Alt key
Modifier.ALT_GRAPH,0x220001,ALT_GRAPH,AltGraph,ALT_GRAPH,VK_ALT_GRAPH,,Modifier,The Alt Graph key
Modifier.CAPS_LOCK,0x220002,CAPS_LOCK,CapsLock,CAPS,VK_CAPS_LOCK,GLFW_KEY_CAPS_LOCK,Modifier,The Caps Lock key
Modifier.CONTROL,0x220003,CONTROL,Control,CONTROL,VK_CONTROL,,Modifier,The Control key
Modifier.FN,0x220004,FN,Fn,,,,Modifier,The Fn key
Modifier.META,0x220005,META,,META,VK_META,,Modifier,The Meta key
Modifier.OS,0x220006,OS,Meta,WINDOWS,VK_WINDOWS,,Modifier,The Os key
Modifier.NUM_LOCK,0x220007,NUM_LOCK,NumLock,NUM_LOCK,VK_NUM_LOCK,GLFW_KEY_NUM_LOCK,Modifier,The Num Lock key
Modifier.SCROLL_LOCK,0x220008,SCROLL_LOCK,ScrollLock,SCROLL_LOCK,VK_SCROLL_LOCK,GLFW_KEY_SCROLL_LOCK,Modifier,The Scroll Lock key
Modifier.SHIFT,0x220009,SHIFT,Shift,SHIFT,VK_SHIFT,,Modifier,The Shift key
Modifier.SYMBOL,0x22000a,SYMBOL,Symbol,,,,Modifier,The Symbol key
Whitespace.ENTER,0x230000,ENTER,Enter,ENTER,VK_ENTER,GLFW_KEY_ENTER,Whitespace,The Enter key
Whitespace.TAB,0x230001,TAB,Tab,TAB,VK_TAB,GLFW_KEY_TAB,Whitespace,The Tab key
Navigation.ARROW_DOWN,0x240000,ARROW_DOWN,ArrowDown,DOWN,VK_DOWN,,Navigation,The Arrow Down key
Navigation.ARROW_LEFT,0x240001,ARROW_LEFT,ArrowLeft,LEFT,VK_LEFT,,Navigation,The Arrow Left key
Navigation.ARROW_RIGHT,0x240002,ARROW_RIGHT,ArrowRight,RIGHT,VK_RIGHT,,Navigation,The Arrow Right key
Navigation.ARROW_UP,0x240003,ARROW_UP,ArrowUp,UP,VK_UP,,Navigation,The Arrow Up key
Navigation.END,0x240004,END,End,END,VK_END,GLFW_KEY_END,Navigation,The End key
Navigation.HOME,0x240005,HOME,Home,HOME,VK_HOME,GLFW_KEY_HOME,Navigation,The Home key
Navigation.PAGE_DOWN,0x240006,PAGE_DOWN,PageDown,PAGE_DOWN,VK_PAGE_DOWN,GLFW_KEY_PAGE_DOWN,Navigation,The Page Down key
Navigation.PAGE_UP,0x240007,PAGE_UP,PageUp,PAGE_UP,VK_PAGE_UP,GLFW_KEY_PAGE_UP,Navigation,The Page Up key
Editing.BACKSPACE,0x250000,BACKSPACE,Backspace,BACK_SPACE,VK_BACK_SPACE,GLFW_KEY_BACKSPACE,Editing,The Backspace key
Editing.CLEAR,0x250001,CLEAR,Clear,CLEAR,VK_CLEAR,,Editing,The Clear key
Editing.COPY,0x250002,COPY,Copy,COPY,VK_COPY,,Editing,The Copy key
Editing.CR_SEL,0x250003,CR_SEL,CrSel,,,,Editing,The Cr Sel key
Editing.CUT,0x250004,CUT,Cut,CUT,VK_CUT,,Editing,The Cut key
Editing.DELETE,0x250005,DELETE,Delete,DELETE,VK_DELETE,GLFW_KEY_DELETE,Editing,The Delete key
Editing.ERASE_EOF,0x250006,ERASE_EOF,EraseEof,,,,Editing,The Erase Eof key
Editing.EX_SEL,0x250007,EX_SEL,ExSel,,,,Editing,The Ex Sel key
Editing.INSERT,0x250008,INSERT,Insert,INSERT,VK_INSERT,GLFW_KEY_INSERT,Editing,The Insert key
Editing.PASTE,0x250009,PASTE,Paste,PASTE,VK_PASTE,,Editing,The Paste key
Editing.REDO,0x25000a,REDO,Redo,AGAIN,VK_AGAIN,,Editing,The Redo key
Editing.UNDO,0x25000b,UNDO,Undo,UNDO,VK_UNDO,,Editing,The Undo key
UI.ACCEPT,0x260000,ACCEPT,Accept,ACCEPT,VK_ACCEPT,,UI,The Accept key
UI.ATTN,0x260001,ATTN,Attn,,,,UI,The Attn key
UI.CANCEL,0x260002,CANCEL,Cancel,CANCEL,VK_CANCEL,,UI,The Cancel key
UI.CONTEXT_MENU,0x260003,CONTEXT_MENU,ContextMenu,CONTEXT_MENU,VK_CONTEXT_MENU,,UI,The Context Menu key
UI.ESCAPE,0x260004,ESCAPE,Escape,ESCAPE,VK_ESCAPE,GLFW_KEY_ESCAPE,UI,The Escape key
UI.EXECUTE,0x260005,EXECUTE,Execute,,,,UI,The Execute key
UI.FIND,0x260006,FIND,Find,FIND,VK_FIND,,UI,The Find key
UI.HELP,0x260007,HELP,Help,HELP,VK_HELP,,UI,The Help key
UI.PAUSE,0x260008,PAUSE,Pause,,,GLFW_KEY_PAUSE,UI,The Pause key
UI.PLAY,0x260009,PLAY,Play,,,,UI,The Play key
UI.SELECT,0x26000a,SELECT,Select,,,,UI,The Select key
UI.ZOOM_IN,0x26000b,ZOOM_IN,ZoomIn,,,,UI,The Zoom In key
UI.ZOOM_OUT,0x26000c,ZOOM_OUT,ZoomOut,,,,UI,The Zoom Out key
Device.BRIGHTNESS_DOWN,0x270000,BRIGHTNESS_DOWN,BrightnessDown,,,,Device,The Brightness Down key
Device.BRIGHTNESS_UP,0x270001,BRIGHTNESS_UP,BrightnessUp,,,,Device,The Brightness Up key
Device.EJECT,0x270002,EJECT,Eject,EJECT_TOGGLE,,,Device,The Eject key
Device.LOG_OFF,0x270003,LOG_OFF,LogOff,,,,Device,The Log Off key
Device.POWER,0x270004,POWER,Power,POWER,,,Device,The Power key
Device.POWER_OFF,0x270005,POWER_OFF,PowerOff,,,,Device,The Power Off key
Device.PRINT_SCREEN,0x270006,PRINT_SCREEN,PrintScreen,PRINTSCREEN,VK_PRINTSCREEN,GLFW_KEY_PRINT_SCREEN,Device,The Print Screen key
Device.HIBERNATE,0x270007,HIBERNATE,Hibernate,,,,Device,The Hibernate key
Device.STANDBY,0x270008,STANDBY,Standby,,,,Device,The Standby key
Device.WAKE_UP,0x270009,WAKE_UP,WakeUp,,,,Device,The Wake Up key
Composition.ALL_CANDIDATES,0x280000,ALL_CANDIDATES,AllCandidates,ALL_CANDIDATES,VK_ALL_CANDIDATES,,Composition,The All Candidates key
Composition.ALPHANUMERIC,0x280001,ALPHANUMERIC,Alphanumeric,ALPHANUMERIC,VK_ALPHANUMERIC,,Composition,The Alphanumeric key
Composition.CODE_INPUT,0x280002,CODE_INPUT,CodeInput,CODE_INPUT,VK_CODE_INPUT,,Composition,The Code Input key
Composition.COMPOSE,0x280003,COMPOSE,Compose,COMPOSE,VK_COMPOSE,,Composition,The Compose key
Composition.CONVERT,0x280004,CONVERT,Convert,CONVERT,VK_CONVERT,,Composition,The Convert key
Composition.DEAD,0x280005,DEAD,Dead,,,,Composition,The Dead key
Composition.FINAL_MODE,0x280006,FINAL_MODE,FinalMode,FINAL,VK_FINAL,,Composition,The Final Mode key
Composition.GROUP_FIRST,0x280007,GROUP_FIRST,GroupFirst,,,,Composition,The Group First key
Composition.GROUP_LAST,0x280008,GROUP_LAST,GroupLast,,,,Composition,The Group Last key
Composition.GROUP_NEXT,0x280009,GROUP_NEXT,GroupNext,,,,Composition,The Group Next key
Composition.GROUP_PREVIOUS,0x28000a,GROUP_PREVIOUS,GroupPrevious,,,,Composition,The Group Previous key
Composition.MODE_CHANGE,0x28000b,MODE_CHANGE,ModeChange,MODECHANGE,VK_MODECHANGE,,Composition,The Mode Change key
Composition.NON_CONVERT,0x28000c,NON_CONVERT,NonConvert,NONCONVERT,VK_NONCONVERT,,Composition,The Non Convert key
Composition.PREVIOUS_CANDIDATE,0x28000d,PREVIOUS_CANDIDATE,PreviousCandidate,PREVIOUS_CANDIDATE,VK_PREVIOUS_CANDIDATE,,Composition,The Previous Candidate key
Composition.PROCESS,0x28000e,PROCESS,Process,,,,Composition,The Process key
Composition.SINGLE_CANDIDATE,0x28000f,SINGLE_CANDIDATE,SingleCandidate,,,,Composition,The Single Candidate key
Composition.HANGUL_MODE,0x280010,HANGUL_MODE,HangulMode,,,,Composition,The Hangul Mode key
Composition.HANJA_MODE,0x280011,HANJA_MODE,HanjaMode,,,,Composition,The Hanja Mode key
Composition.JUNJA_MODE,0x280012,JUNJA_MODE,JunjaMode,,,,Composition,The Junja Mode key
Composition.EISU,0x280013,EISU,Eisu,,,,Composition,The Eisu key
Composition.HANKAKU,0x280014,HANKAKU,Hankaku,HALF_WIDTH,VK_HALF_WIDTH,,Composition,The Hankaku key
Composition.HIRAGANA,0x280015,HIRAGANA,Hiragana,HIRAGANA,VK_HIRAGANA,,Composition,The Hiragana key
Composition.HIRAGANA_KATAKANA,0x280016,HIRAGANA_KATAKANA,HiraganaKatakana,,,,Composition,The Hiragana Katakana key
Composition.KANA_MODE,0x280017,KANA_MODE,KanaMode,KANA_LOCK,VK_KANA_LOCK,,Composition,The Kana Mode key
Composition.KANJI_MODE,0x280018,KANJI_MODE,KanjiMode,KANJI,VK_KANJI,,Composition,The Kanji Mode key
Composition.KATAKANA,0x280019,KATAKANA,Katakana,KATAKANA,VK_KATAKANA,,Composition,The Katakana key
Composition.ROMAJI,0x28001a,ROMAJI,Romaji,ROMAN_CHARACTERS,VK_ROMAN_CHARACTERS,,Composition,The Romaji key
Composition.ZENKAKU,0x28001b,ZENKAKU,Zenkaku,FULL_WIDTH,VK_FULL_WIDTH,,Composition,The Zenkaku key
Composition.ZENKAKU_HANKAKU,0x28001c,ZENKAKU_HANKAKU,ZenkakuHankaku,,,,Composition,The Zenkaku Hankaku key
Function.F1,0x290000,F1,F1,F1,VK_F1,GLFW_KEY_F1,Function,The F1 key
Function.F2,0x290001,F2,F2,F2,VK_F2,GLFW_KEY_F2,Function,The F2 key
Function.F3,0x290002,F3,F3,F3,VK_F3,GLFW_KEY_F3,Function,The F3 key
Function.F4,0x290003,F4,F4,F4,VK_F4,GLFW_KEY_F4,Function,The F4 key
Function.F5,0x290004,F5,F5,F5,VK_F5,GLFW_KEY_F5,Function,The F5 key
Function.F6,0x290005,F6,F6,F6,VK_F6,GLFW_KEY_F6,Function,The F6 key
Function.F7,0x290006,F7,F7,F7,VK_F7,GLFW_KEY_F7,Function,The F7 key
Function.F8,0x290007,F8,F8,F8,VK_F8,GLFW_KEY_F8,Function,The F8 key
Function.F9,0x290008,F9,F9,F9,VK_F9,GLFW_KEY_F9,Function,The F9 key
Function.F10,0x290009,F10,F10,F10,VK_F10,GLFW_KEY_F10,Function,The F10 key
Function.F11,0x29000a,F11,F11,F11,VK_F11,GLFW_KEY_F11,Function,The F11 key
Function.F12,0x29000b,F12,F12,F12,VK_F12,GLFW_KEY_F12,Function,The F12 key
Function.F13,0x29000c,F13,F13,F13,VK_F13,GLFW_KEY_F13,Function,The F13 key
Function.F14,0x29000d,F14,F14,F14,VK_F14,GLFW_KEY_F14,Function,The F14 key
Function.F15,0x29000e,F15,F15,F15,VK_F15,GLFW_KEY_F15,Function,The F15 key
Function.F16,0x29000f,F16,F16,F16,VK_F16,GLFW_KEY_F16,Function,The F16 key
Function.F17,0x290010,F17,F17,F17,VK_F17,GLFW_KEY_F17,Function,The F17 key
Function.F18,0x290011,F18,F18,F18,VK_F18,GLFW_KEY_F18,Function,The F18 key
Function.F19,0x290012,F19,F19,F19,VK_F19,GLFW_KEY_F19,Function,The F19 key
Function.F20,0x290013,F20,F20,F20,VK_F20,GLFW_KEY_F20,Function,The F20 key
Function.F21,0x290014,F21,F21,F21,VK_F21,GLFW_KEY_F21,Function,The F21 key
Function.F22,0x290015,F22,F22,F22,VK_F22,GLFW_KEY_F22,Function,The F22 key
Function.F23,0x290016,F23,F23,F23,VK_F23,GLFW_KEY_F23,Function,The F23 key
Function.F24,0x290017,F24,F24,F24,VK_F24,GLFW_KEY_F24,Function,The F24 key
Function.F25,0x290018,F25,F25,,,GLFW_KEY_F25,Function,The F25 key
Function.F26,0x290019,F26,F26,,,,Function,The F26 key
Function.F27,0x29001a,F27,F27,,,,Function,The F27 key
Function.F28,0x29001b,F28,F28,,,,Function,The F28 key
Function.F29,0x29001c,F29,F29,,,,Function,The F29 key
Function.F30,0x29001d,F30,F30,,,,Function,The F30 key
Function.F31,0x29001e,F31,F31,,,,Function,The F31 key
Function.F32,0x29001f,F32,F32,,,,Function,The F32 key
Function.F33,0x290020,F33,F33,,,,Function,The F33 key
Function.F34,0x290021,F34,F34,,,,Function,The F34 key
Function.F35,0x290022,F35,F35,,,,Function,The F35 key
Phone.APP_SWITCH,0x2a0000,APP_SWITCH,AppSwitch,,,,Phone,The App Switch key
Phone.CALL,0x2a0001,CALL,Call,,,,Phone,The Call key
Phone.CAMERA,0x2a0002,CAMERA,Camera,,,,Phone,The Camera key
Phone.CAMERA_FOCUS,0x2a0003,CAMERA_FOCUS,CameraFocus,,,,Phone,The Camera Focus key
Phone.END_CALL,0x2a0004,END_CALL,EndCall,,,,Phone,The End Call key
Phone.GO_BACK,0x2a0005,GO_BACK,GoBack,,,,Phone,The Go Back key
Phone.GO_HOME,0x2a0006,GO_HOME,GoHome,,,,Phone,The Go Home key
Phone.HEADSET_HOOK,0x2a0007,HEADSET_HOOK,HeadsetHook,,,,Phone,The Headset Hook key
Phone.LAST_NUMBER_REDIAL,0x2a0008,LAST_NUMBER_REDIAL,LastNumberRedial,,,,Phone,The Last Number Redial key
Phone.NOTIFICATION,0x2a0009,NOTIFICATION,Notification,,,,Phone,The Notification key
Phone.MANNER_MODE,0x2a000a,MANNER_MODE,MannerMode,,,,Phone,The Manner Mode key
Phone.VOICE_DIAL,0x2a000b,VOICE_DIAL,VoiceDial,,,,Phone,The Voice Dial key
Multimedia.CHANNEL_DOWN,0x2b0000,CHANNEL_DOWN,ChannelDown,CHANNEL_DOWN,,,Multimedia,The Channel Down key
Multimedia.CHANNEL_UP,0x2b0001,CHANNEL_UP,ChannelUp,CHANNEL_UP,,,Multimedia,The Channel Up key
Multimedia.MEDIA_FAST_FORWARD,0x2b0002,MEDIA_FAST_FORWARD,MediaFastForward,FAST_FWD,,,Multimedia,The Media Fast Forward key
Multimedia.MEDIA_PAUSE,0x2b0003,MEDIA_PAUSE,MediaPause,PAUSE,VK_PAUSE,,Multimedia,The Media Pause key
Multimedia.MEDIA_PLAY,0x2b0004,MEDIA_PLAY,MediaPlay,PLAY,,,Multimedia,The Media Play key
Multimedia.MEDIA_PLAY_PAUSE,0x2b0005,MEDIA_PLAY_PAUSE,MediaPlayPause,,,,Multimedia,The Media Play Pause key
Multimedia.MEDIA_RECORD,0x2b0006,MEDIA_RECORD,MediaRecord,RECORD,,,Multimedia,The Media Record key
Multimedia.MEDIA_REWIND,0x2b0007,MEDIA_REWIND,MediaRewind,REWIND,,,Multimedia,The Media Rewind key
Multimedia.MEDIA_STOP,0x2b0008,MEDIA_STOP,MediaStop,STOP,VK_STOP,,Multimedia,The Media Stop key
Multimedia.MEDIA_TRACK_NEXT,0x2b0009,MEDIA_TRACK_NEXT,MediaTrackNext,TRACK_NEXT,,,Multimedia,The Media Track Next key
Multimedia.MEDIA_TRACK_PREVIOUS,0x2b000a,MEDIA_TRACK_PREVIOUS,MediaTrackPrevious,TRACK_PREV,,,Multimedia,The Media Track Previous key
Audio.AUDIO_BALANCE_LEFT,0x2c0000,AUDIO_BALANCE_LEFT,AudioBalanceLeft,,,,Audio,The Audio Balance Left key
Audio.AUDIO_BALANCE_RIGHT,0x2c0001,AUDIO_BALANCE_RIGHT,AudioBalanceRight,,,,Audio,The Audio Balance Right key
