key,id,name,js,fx,awt,gl,cat,doc
Audio.AUDIO_BASS_DOWN,0x2c0002,AUDIO_BASS_DOWN,AudioBassDown,,,,Audio,The Audio Bass Down key
Audio.AUDIO_BASS_UP,0x2c0003,AUDIO_BASS_UP,AudioBassUp,,,,Audio,The Audio Bass Up key
Audio.AUDIO_BASS_BOOST_DOWN,0x2c0004,AUDIO_BASS_BOOST_DOWN,AudioBassBoostDown,,,,Audio,The Audio Bass Boost Down key
Audio.AUDIO_BASS_BOOST_UP,0x2c0005,AUDIO_BASS_BOOST_UP,AudioBassBoostUp,,,,Audio,The Audio Bass Boost Up key
Audio.AUDIO_BASS_BOOST_TOGGLE,0x2c0006,AUDIO_BASS_BOOST_TOGGLE,AudioBassBoostToggle,,,,Audio,The Audio Bass Boost Toggle key
Audio.AUDIO_FADER_FRONT,0x2c0007,AUDIO_FADER_FRONT,AudioFaderFront,,,,Audio,The Audio Fader Front key
Audio.AUDIO_FADER_REAR,0x2c0008,AUDIO_FADER_REAR,AudioFaderRear,,,,Audio,The Audio Fader Rear key
Audio.AUDIO_SURROUND_MODE_NEXT,0x2c0009,AUDIO_SURROUND_MODE_NEXT,AudioSurroundModeNext,,,,Audio,The Audio Surround Mode Next key
Audio.AUDIO_TREBLE_DOWN,0x2c000a,AUDIO_TREBLE_DOWN,AudioTrebleDown,,,,Audio,The Audio Treble Down key
Audio.AUDIO_TREBLE_UP,0x2c000b,AUDIO_TREBLE_UP,AudioTrebleUp,,,,Audio,The Audio Treble Up key
Audio.AUDIO_VOLUME_DOWN,0x2c000c,AUDIO_VOLUME_DOWN,AudioVolumeDown,VOLUME_DOWN,,,Audio,The Audio Volume Down key
Audio.AUDIO_VOLUME_UP,0x2c000d,AUDIO_VOLUME_UP,AudioVolumeUp,VOLUME_UP,,,Audio,The Audio Volume Up key
Audio.AUDIO_VOLUME_MUTE,0x2c000e,AUDIO_VOLUME_MUTE,AudioVolumeMute,MUTE,,,Audio,The Audio Volume Mute key
Audio.MICROPHONE_VOLUME_MUTE,0x2c000f,MICROPHONE_VOLUME_MUTE,MicrophoneVolumeMute,,,,Audio,The Microphone Volume Mute key
Audio.MICROPHONE_VOLUME_DOWN,0x2c0010,MICROPHONE_VOLUME_DOWN,MicrophoneVolumeDown,,,,Audio,The Microphone Volume Down key
Audio.MICROPHONE_VOLUME_UP,0x2c0011,MICROPHONE_VOLUME_UP,MicrophoneVolumeUp,,,,Audio,The Microphone Volume Up key
Audio.MICROPHONE_TOGGLE,0x2c0012,MICROPHONE_TOGGLE,MicrophoneToggle,,,,Audio,The Microphone Toggle key
Launch.LAUNCH_CALCULATOR,0x2d0000,LAUNCH_CALCULATOR,LaunchCalculator,,,,Launch,The Launch Calculator key
Launch.LAUNCH_CALENDAR,0x2d0001,LAUNCH_CALENDAR,LaunchCalendar,,,,Launch,The Launch Calendar key
Launch.LAUNCH_CONTACTS,0x2d0002,LAUNCH_CONTACTS,LaunchContacts,,,,Launch,The Launch Contacts key
Launch.LAUNCH_MAIL,0x2d0003,LAUNCH_MAIL,LaunchMail,,,,Launch,The Launch Mail key
Launch.LAUNCH_MEDIA_PLAYER,0x2d0004,LAUNCH_MEDIA_PLAYER,LaunchMediaPlayer,,,,Launch,The Launch Media Player key
Launch.LAUNCH_MUSIC_PLAYER,0x2d0005,LAUNCH_MUSIC_PLAYER,LaunchMusicPlayer,,,,Launch,The Launch Music Player key
Launch.LAUNCH_MY_COMPUTER,0x2d0006,LAUNCH_MY_COMPUTER,LaunchMyComputer,,,,Launch,The Launch My Computer key
Launch.LAUNCH_SCREEN_SAVER,0x2d0007,LAUNCH_SCREEN_SAVER,LaunchScreenSaver,,,,Launch,The Launch Screen Saver key
Launch.LAUNCH_SPREADSHEET,0x2d0008,LAUNCH_SPREADSHEET,LaunchSpreadsheet,,,,Launch,The Launch Spreadsheet key
Launch.LAUNCH_WEB_BROWSER,0x2d0009,LAUNCH_WEB_BROWSER,LaunchWebBrowser,,,,Launch,The Launch Web Browser key
Launch.LAUNCH_WEB_CAM,0x2d000a,LAUNCH_WEB_CAM,LaunchWebCam,,,,Launch,The Launch Web Cam key
Launch.LAUNCH_WORD_PROCESSOR,0x2d000b,LAUNCH_WORD_PROCESSOR,LaunchWordProcessor,,,,Launch,The Launch Word Processor key
Launch.LAUNCH_APPLICATION1,0x2d000c,LAUNCH_APPLICATION1,LaunchApplication1,,,,Launch,The Launch Application1 key
Launch.LAUNCH_APPLICATION2,0x2d000d,LAUNCH_APPLICATION2,LaunchApplication2,,,,Launch,The Launch Application2 key
Launch.LAUNCH_APPLICATION3,0x2d000e,LAUNCH_APPLICATION3,LaunchApplication3,,,,Launch,The Launch Application3 key
Launch.LAUNCH_APPLICATION4,0x2d000f,LAUNCH_APPLICATION4,LaunchApplication4,,,,Launch,The Launch Application4 key
Launch.LAUNCH_APPLICATION5,0x2d0010,LAUNCH_APPLICATION5,LaunchApplication5,,,,Launch,The Launch Application5 key
Launch.LAUNCH_APPLICATION6,0x2d0011,LAUNCH_APPLICATION6,LaunchApplication6,,,,Launch,The Launch Application6 key
Launch.LAUNCH_APPLICATION7,0x2d0012,LAUNCH_APPLICATION7,LaunchApplication7,,,,Launch,The Launch Application7 key
Launch.LAUNCH_APPLICATION8,0x2d0013,LAUNCH_APPLICATION8,LaunchApplication8,,,,Launch,The Launch Application8 key
Launch.LAUNCH_APPLICATION9,0x2d0014,LAUNCH_APPLICATION9,LaunchApplication9,,,,Launch,The Launch Application9 key
Launch.LAUNCH_APPLICATION10,0x2d0015,LAUNCH_APPLICATION10,LaunchApplication10,,,,Launch,The Launch Application10 key
Launch.LAUNCH_APPLICATION11,0x2d0016,LAUNCH_APPLICATION11,LaunchApplication11,,,,Launch,The Launch Application11 key
Launch.LAUNCH_APPLICATION12,0x2d0017,LAUNCH_APPLICATION12,LaunchApplication12,,,,Launch,The Launch Application12 key
Launch.LAUNCH_APPLICATION13,0x2d0018,LAUNCH_APPLICATION13,LaunchApplication13,,,,Launch,The Launch Application13 key
Launch.LAUNCH_APPLICATION14,0x2d0019,LAUNCH_APPLICATION14,LaunchApplication14,,,,Launch,The Launch Application14 key
Launch.LAUNCH_APPLICATION15,0x2d001a,LAUNCH_APPLICATION15,LaunchApplication15,,,,Launch,The Launch Application15 key
Launch.LAUNCH_APPLICATION16,0x2d001b,LAUNCH_APPLICATION16,LaunchApplication16,,,,Launch,The Launch Application16 key
Launch.BROWSER_BACK,0x2d001c,BROWSER_BACK,BrowserBack,,,,Launch,The Browser Back key
Launch.BROWSER_FAVORITES,0x2d001d,BROWSER_FAVORITES,BrowserFavorites,,,,Launch,The Browser Favorites key
Launch.BROWSER_FORWARD,0x2d001e,BROWSER_FORWARD,BrowserForward,,,,Launch,The Browser Forward key
Launch.BROWSER_HOME,0x2d001f,BROWSER_HOME,BrowserHome,,,,Launch,The Browser Home key
Launch.BROWSER_REFRESH,0x2d0020,BROWSER_REFRESH,BrowserRefresh,,,,Launch,The Browser Refresh key
Launch.BROWSER_SEARCH,0x2d0021,BROWSER_SEARCH,BrowserSearch,,,,Launch,The Browser Search key
Launch.BROWSER_STOP,0x2d0022,BROWSER_STOP,BrowserStop,,,,Launch,The Browser Stop key
TV.TV,0x2e0000,TV,TV,,,,TV,The Tv key
TV.TV_3D_MODE,0x2e0001,TV_3D_MODE,TV3DMode,,,,TV,The Tv 3d Mode key
TV.TV_ANTENNA_CABLE,0x2e0002,TV_ANTENNA_CABLE,TVAntennaCable,,,,TV,The Tv Antenna Cable key
TV.TV_AUDIO_DESCRIPTION,0x2e0003,TV_AUDIO_DESCRIPTION,TVAudioDescription,,,,TV,The Tv Audio Description key
TV.TV_AUDIO_DESCRIPTION_MIX_DOWN,0x2e0004,TV_AUDIO_DESCRIPTION_MIX_DOWN,TVAudioDescriptionMixDown,,,,TV,The Tv Audio Description Mix Down key
TV.TV_AUDIO_DESCRIPTION_MIX_UP,0x2e0005,TV_AUDIO_DESCRIPTION_MIX_UP,TVAudioDescriptionMixUp,,,,TV,The Tv Audio Description Mix Up key
TV.TV_CONTENTS_MENU,0x2e0006,TV_CONTENTS_MENU,TVContentsMenu,,,,TV,The Tv Contents Menu key
TV.TV_DATA_SERVICE,0x2e0007,TV_DATA_SERVICE,TVDataService,,,,TV,The Tv Data Service key
TV.TV_INPUT,0x2e0008,TV_INPUT,TVInput,,,,TV,The Tv Input key
TV.TV_INPUT_COMPONENT1,0x2e0009,TV_INPUT_COMPONENT1,TVInputComponent1,,,,TV,The Tv Input Component1 key
TV.TV_INPUT_COMPONENT2,0x2e000a,TV_INPUT_COMPONENT2,TVInputComponent2,,,,TV,The Tv Input Component2 key
TV.TV_INPUT_COMPOSITE1,0x2e000b,TV_INPUT_COMPOSITE1,TVInputComposite1,,,,TV,The Tv Input Composite1 key
TV.TV_INPUT_COMPOSITE2,0x2e000c,TV_INPUT_COMPOSITE2,TVInputComposite2,,,,TV,The Tv Input Composite2 key
TV.TV_INPUT_HDMI1,0x2e000d,TV_INPUT_HDMI1,TVInputHDMI1,,,,TV,The Tv Input Hdmi1 key
TV.TV_INPUT_HDMI2,0x2e000e,TV_INPUT_HDMI2,TVInputHDMI2,,,,TV,The Tv Input Hdmi2 key
TV.TV_INPUT_HDMI3,0x2e000f,TV_INPUT_HDMI3,TVInputHDMI3,,,,TV,The Tv Input Hdmi3 key
TV.TV_INPUT_HDMI4,0x2e0010,TV_INPUT_HDMI4,TVInputHDMI4,,,,TV,The Tv Input Hdmi4 key
TV.TV_INPUT_VGA1,0x2e0011,TV_INPUT_VGA1,TVInputVGA1,,,,TV,The Tv Input Vga1 key
TV.TV_NETWORK,0x2e0012,TV_NETWORK,TVNetwork,,,,TV,The Tv Network key
TV.TV_NUMBER_ENTRY,0x2e0013,TV_NUMBER_ENTRY,TVNumberEntry,,,,TV,The Tv Number Entry key
TV.TV_POWER,0x2e0014,TV_POWER,TVPower,,,,TV,The Tv Power key
TV.TV_RADIO_SERVICE,0x2e0015,TV_RADIO_SERVICE,TVRadioService,,,,TV,The Tv Radio Service key
TV.TV_SATELLITE,0x2e0016,TV_SATELLITE,TVSatellite,,,,TV,The Tv Satellite key
TV.TV_SATELLITE_BS,0x2e0017,TV_SATELLITE_BS,TVSatelliteBS,,,,TV,The Tv Satellite Bs key
TV.TV_SATELLITE_CS,0x2e0018,TV_SATELLITE_CS,TVSatelliteCS,,,,TV,The Tv Satellite Cs key
TV.TV_SATELLITE_TOGGLE,0x2e0019,TV_SATELLITE_TOGGLE,TVSatelliteToggle,,,,TV,The Tv Satellite Toggle key
TV.TV_TERRESTRIAL_ANALOG,0x2e001a,TV_TERRESTRIAL_ANALOG,TVTerrestrialAnalog,,,,TV,The Tv Terrestrial Analog key
TV.TV_TERRESTRIAL_DIGITAL,0x2e001b,TV_TERRESTRIAL_DIGITAL,TVTerrestrialDigital,,,,TV,The Tv Terrestrial Digital key
TV.TV_TIMER,0x2e001c,TV_TIMER,TVTimer,,,,TV,The Tv Timer key
MediaController.AVR_INPUT,0x2f0000,AVR_INPUT,AVRInput,,,,MediaController,The Avr Input key
MediaController.AVR_POWER,0x2f0001,AVR_POWER,AVRPower,,,,MediaController,The Avr Power key
MediaController.COLOR_F0_RED,0x2f0002,COLOR_F0_RED,ColorF0Red,COLORED_KEY_0,,,MediaController,The Color F0 Red key
MediaController.COLOR_F1_GREEN,0x2f0003,COLOR_F1_GREEN,ColorF1Green,COLORED_KEY_1,,,MediaController,The Color F1 Green key
MediaController.COLOR_F2_YELLOW,0x2f0004,COLOR_F2_YELLOW,ColorF2Yellow,COLORED_KEY_2,,,MediaController,The Color F2 Yellow key
MediaController.COLOR_F3_BLUE,0x2f0005,COLOR_F3_BLUE,ColorF3Blue,COLORED_KEY_3,,,MediaController,The Color F3 Blue key
MediaController.CLOSED_CAPTION_TOGGLE,0x2f0006,CLOSED_CAPTION_TOGGLE,ClosedCaptionToggle,,,,MediaController,The Closed Caption Toggle key
MediaController.DIMMER,0x2f0007,DIMMER,Dimmer,,,,MediaController,The Dimmer key
MediaController.DVR,0x2f0008,DVR,DVR,,,,MediaController,The Dvr key
MediaController.GUIDE,0x2f0009,GUIDE,Guide,,,,MediaController,The Guide key
MediaController.INFO,0x2f000a,INFO,Info,INFO,,,MediaController,The Info key
MediaController.MEDIA_AUDIO_TRACK,0x2f000b,MEDIA_AUDIO_TRACK,MediaAudioTrack,,,,MediaController,The Media Audio Track key
MediaController.MEDIA_LAST,0x2f000c,MEDIA_LAST,MediaLast,,,,MediaController,The Media Last key
MediaController.MEDIA_TOP_MENU,0x2f000d,MEDIA_TOP_MENU,MediaTopMenu,,,,MediaController,The Media Top Menu key
MediaController.MEDIA_SKIP_BACKWARD,0x2f000e,MEDIA_SKIP_BACKWARD,MediaSkipBackward,,,,MediaController,The Media Skip Backward key
MediaController.MEDIA_SKIP_FORWARD,0x2f000f,MEDIA_SKIP_FORWARD,MediaSkipForward,,,,MediaController,The Media Skip Forward key
MediaController.MEDIA_STEP_BACKWARD,0x2f0010,MEDIA_STEP_BACKWARD,MediaStepBackward,,,,MediaController,The Media Step Backward key
MediaController.MEDIA_STEP_FORWARD,0x2f0011,MEDIA_STEP_FORWARD,MediaStepForward,,,,MediaController,The Media Step Forward key
MediaController.NAVIGATE_IN,0x2f0012,NAVIGATE_IN,NavigateIn,,,,MediaController,The Navigate In key
MediaController.NAVIGATE_NEXT,0x2f0013,NAVIGATE_NEXT,NavigateNext,,,,MediaController,The Navigate Next key
MediaController.NAVIGATE_OUT,0x2f0014,NAVIGATE_OUT,NavigateOut,,,,MediaController,The Navigate Out key
MediaController.NAVIGATE_PREVIOUS,0x2f0015,NAVIGATE_PREVIOUS,NavigatePrevious,,,,MediaController,The Navigate Previous key
MediaController.PAIRING,0x2f0016,PAIRING,Pairing,,,,MediaController,The Pairing key
MediaController.PIN_P_TOGGLE,0x2f0017,PIN_P_TOGGLE,PinPToggle,,,,MediaController,The Pin P Toggle key
MediaController.RANDOM_TOGGLE,0x2f0018,RANDOM_TOGGLE,RandomToggle,,,,MediaController,The Random Toggle key
MediaController.SETTINGS,0x2f0019,SETTINGS,Settings,,,,MediaController,The Settings key
MediaController.STB_INPUT,0x2f001a,STB_INPUT,STBInput,,,,MediaController,The Stb Input key
MediaController.STB_POWER,0x2f001b,STB_POWER,STBPower,,,,MediaController,The Stb Power key
MediaController.SUBTITLE,0x2f001c,SUBTITLE,Subtitle,,,,MediaController,The Subtitle key
MediaController.TELETEXT,0x2f001d,TELETEXT,Teletext,,,,MediaController,The Teletext key
MediaController.VIDEO_MODE_NEXT,0x2f001e,VIDEO_MODE_NEXT,VideoModeNext,,,,MediaController,The Video Mode Next key
MediaController.ZOOM_TOGGLE,0x2f001f,ZOOM_TOGGLE,ZoomToggle,,,,MediaController,The Zoom Toggle key
Document.CLOSE,0x300000,CLOSE,Close,,,,Document,The Close key
Document.NEW,0x300001,NEW,New,,,,Document,The New key
Document.OPEN,0x300002,OPEN,Open,,,,Document,The Open key
Document.PRINT,0x300003,PRINT,Print,,,,Document,The Print key
Document.SAVE,0x300004,SAVE,Save,,,,Document,The Save key
Document.MAIL_FORWARD,0x300005,MAIL_FORWARD,MailForward,,,,Document,The Mail Forward key
Document.MAIL_REPLY,0x300006,MAIL_REPLY,MailReply,,,,Document,The Mail Reply key
Document.MAIL_SEND,0x300007,MAIL_SEND,MailSend,,,,Document,The Mail Send key
Document.SPELL_CHECK,0x300008,SPELL_CHECK,SpellCheck,,,,Document,The Spell Check key
